u,v,key,geometry,address
1774095082,1845269311,0,POINT (-118.25640865158168 33.968032359194574),"7817 S Central Ave, Los Angeles, CA 90001, USA"
355623372,122752417,0,POINT (-118.27657401374343 34.18182136334436),"1818 W Mountain St, Glendale, CA 91201, USA"
123259961,123526962,0,POINT (-118.29611306201004 34.093428307290225),"Edgemont & Lexington Ave., Los Angeles, CA 90029, USA"
10820069648,123076302,0,POINT (-117.88499521527298 34.14159336855743),"412 Conway Ct, Glendora, CA 91741, USA"
123657337,123176647,0,POINT (-118.31418854269856 33.806307946302326),"1973 241st St, Lomita, CA 90717, USA"
122850436,122850438,0,POINT (-118.34723944167807 34.01506564736644),"4506 Santa Rosalia Dr, Los Angeles, CA 90008, USA"
122586184,123641220,0,POINT (-118.38713973841537 34.09142212002091),"8967 Shoreham Dr, Los Angeles, CA 90069, USA"
123071143,123309236,0,POINT (-117.80895137386311 34.488648955968806),"Llano Cutoff, Llano, CA 93544, USA"
2546485056,122622198,0,POINT (-118.19700344686923 33.89942758940711),"14703 S Castlegate Ave, Compton, CA 90221, USA"
123399006,122858265,0,POINT (-117.75890605167689 34.0576222887382),"891 W 2nd St, Pomona, CA 91766, USA"
