,Unnamed: 0.1,Unnamed: 0,oid,oy,ox,oGEOID,oMOVEMENT_ID,did,dy,dx,dGEOID,dMOVEMENT_ID,uber_OD,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
455763,455763,1395713,123045359,34.2216648,-118.3987501,6037121010.0,843.0,122892984,34.2282843,-118.4416134,6037119900.0,831.0,"(843.0, 831.0)",843.0,831.0,3,258.92,106.8,244.47,1.37
983626,983626,1156087,1790535482,34.1697727,-118.2083781,6037300901.0,349.0,6474392373,34.1536909,-118.2266211,6037301000.0,351.0,"(349.0, 351.0)",349.0,351.0,3,135.47,256.63,29.51,5.7
1020922,1020922,461124,1918475191,34.0372349,-118.3734684,6037270300.0,1574.0,123570450,34.042783,-118.5544539,6037262604.0,1523.0,"(1574.0, 1523.0)",1574.0,1523.0,3,825.54,224.72,806.41,1.22
553939,553939,41581,123189034,33.847259,-118.1307619,6037570800.0,536.0,123075161,33.8525881,-118.1598736,6037570703.0,535.0,"(536.0, 535.0)",536.0,535.0,3,218.39,97.62,198.7,1.55
509772,509772,448847,123119417,34.0501762,-118.3331252,6037212800.0,1301.0,806547103,34.0605774,-118.2477082,6037207400.0,1230.0,"(1301.0, 1230.0)",1301.0,1230.0,3,853.95,190.26,833.41,1.25
716175,716175,1486595,123571966,34.1371524,-118.0567263,6037430701.0,25.0,122694207,34.1114328,-118.1241628,6037464102.0,1937.0,"(25.0, 1937.0)",25.0,1937.0,3,407.06,146.54,385.29,1.38
1067213,1067213,3299080,3496953052,34.2702661,-118.3980944,6037980021.0,1692.0,123275948,34.1460685,-118.059371,6037430701.0,25.0,"(1692.0, 25.0)",1692.0,25.0,3,1193.67,126.41,1187.19,1.11
1167907,1167907,2992090,7895876605,34.2863803,-118.4251404,6037320102.0,1921.0,122813341,34.225003,-118.393414,6037121221.0,848.0,"(1921.0, 848.0)",1921.0,848.0,3,716.69,231.65,679.95,1.39
64821,64821,1758629,122572424,33.9569476,-118.2385213,6037535300.0,2371.0,123803670,33.9300281,-118.0898601,6037577800.0,1776.0,"(2371.0, 1776.0)",2371.0,1776.0,3,1102.0,303.9,1060.9,1.32
353235,353235,180542,122911324,34.0447223,-118.363339,6037216901.0,1330.0,1613184424,34.0180577,-118.4181088,6037271801.0,1583.0,"(1330.0, 1583.0)",1330.0,1583.0,3,619.74,198.75,589.12,1.38
