Unnamed: 0,oid,did,oy,ox,dy,dx,hour_of_day,uber_time,penalized_total_time,freeflow_travel_time,shortest_path_travel_time,penalized_distance,freeflow_distance,shortest_path_distance,distance,duration,polyline
0,355020857,123107324,34.1697934,-118.298001,33.857542,-118.0408125,18,3143.57,1850.8,1826.0,2396.2,49648.922,46570.942,46002.339,56187,3714,cxpoEza`qUH?PJlEvE`CkDJMjJwNz@uAr@z@DRtFdGRf@@b@EToAfBWJYAUKO[C[D]Vk@pDuFDM`BaCpAyATUlAoARSBa@lBqAlBeAzWsMdC_BbCqBzB{B|AqB`BiC|AyChAoCfAiDZoA|@yD~@mDd@sAlAoCrAyB|AoBbB_BlCcB`Bw@xBu@vCm@vSwDxIiAxH_AnCo@bLcDxH}A`HsAbSyDhg@oJjPaDlEmAbEyAnQuHpHaDlMwFdAo@hByAjAqAhA}AlEgHbEaHxCgGpBmE|M{\~AeDrA}BxHyLr@oAdGkJjA{AhBkBxBgB`L}GbCiBzWiWrKiKj@e@vKqKbCsCdCoDxBsD~HiO`BiD~C_GfGmJf@w@hAuBx@iBd@qAf@oB|CqOt@uC`AmCdA_CrA{BlBgCvBuBvBaBfBeAbBs@zA_@zAUvBIrDH`GPfBAjBMdB[~Ac@rB{@tOsIpAi@xAg@hB_@pBSjLUdCOdEg@~Be@tEgARIlM{C~Be@nD[vHO`[a@rE@nDPpD^pCf@xD`AnC~@`DtAfGlDpVtNpB`ApBn@fIhBbFvAnBp@REvGnBt@Lz@Bt@It@Un@[hEgDnMmK|@_Aj@}@j@qA\mATyAz@uJd@_DlBcIH_@C[`@kAlAuEtB_HBi@z@aC~@yC|AeHj@gCdAkDvW_x@r@yCr@kEZ{CPwCFkDAcN@cAA{W@qFD}A?q@TyC^kCr@iDz@eDdAuChJgT\GpCeFv@cAjAcA`Ak@pAg@pAU~@GFIzBG~PE|M?|EPvEd@dEp@rCn@rA`@b@F~EdBbEhBtDpB`KbG`Bt@vBn@hBXdBNhB@xBInBYbBa@`Bm@rBgA`BoAvAwA`C_DrDaFdCsCdD}CfDmCnDaChC{AzDmB~D}AnDeA|J}B~Ba@jFg@hFUnFClFJ`G`@dLx@|BDhCGlJk@|CE|CH|CTzCb@vCp@tC|@`IvCrCr@`C^pWtBnJd@|HRbHBrIKlTm@~CDfk@xD~B\|Bl@xBz@tBhAjBvAfBbBzAlBvH~LzAnBbBdBlBxAnBjA~B`ArBl@~Bb@zCV`C@`CI`C[vCo@~FuA`C_@fBMbCEjCHxBTvmAhO|Cj@|Bn@tCfAfAf@xBpAnBtAnD`DbHvGd@l@pBzAfC|AlB|@xBt@tD`AlEx@lEh@nJv@lAFlS`BfJp@dFl@dFz@rFlA~EzApE`Bn@ZnEbBdD~@zCj@nHhAf@b@fYhG~@@bAOp@[b@[l@u@`@aAXmABe@AuAKy@mBmHYeB[iEIqFO}@K_mAHyDPwC^aDdAsI\uDHgCHsHGua@KeDIuAk@cFsAqJ_@yDK{CEmFc@uuBHwCL}Az@qFhAiGL}@N{ALyC?wIEey@IkEO}CgBcUU_FAs@BkA@eELsE\kFHmAA]f@{GPgEBcGMeeBD{@MsqBHyDTuDf@kE|@aFz@aDdA_DbAeCfBeDl\uj@Z]hCmElAwBzSa^nCsFzBgFrByFbPoh@Ne@ZYzCmHh@{ATQ\A?rONVBpNbFC
1,122594989,123114847,33.9861368,-118.2564379,34.0699414,-118.0856771,9,1548.0,1000.8,942.8,1310.9,22518.42,22518.42,21917.992,22950,1655,i|lnEz}wpUaS??eZskBF}NAf@gHah@cWw@]wAS}@u@eKaJmAeAcJ[d@cDXgDA]EMTeBwPe@TaL}Xq@aACHWjC{OP}@NM\gBr@cG\m@b@EVFVTHX@^E\QXSJ_@DWGYUc@w@MUcDaKwAcFu@iDg@_D@Eq@iGyAoOe@{Bm@qB{@sA}@eAiBmAsIwEUC{GaEqCuAmAc@yA]qASmD_@WMoJw@_BU_Ba@{@]kCqAi[yQqCwA{DyA}C_A}Cm@sCa@}CWaCI}FDQW}EG}@Qu@[k@_@k@m@i@aAY}@QgAEmADiAdAuH`B{JLaBDsCCkBSWMeDUiBCa@w@kDuByIe@sCwA_OSsEGcCBiFj@au@GwCS{C]wCi@sCs@kC_CsGsEiM{FsPoAiD}I{Wg@uB]{BQcCCmBBaCbAkQBuBEyBQkB_@uBeAkD_AcC_B}CiDkF_C_FiGwNsNo\_AaCsHuPgD_Is@}Bk@mCUoBO_CEsI}AwoFYocATUHyGLa@RK~CETINWPg@PSr@[b@CC_^
2,123256528,122666450,34.2155996,-118.574523,33.9692106,-118.4050029,4,2043.11,1646.7,1594.7,1989.4,39961.507,39961.507,38391.468,40790,1699,ovyoEzavrU?yTrSAfjCKxTA~WAx@@r@?nABbJ@rAF|B\dBb@bAX~@F~@EbAUxAu@z@UhAIjRCjD@[oAq@qBy@yDWOi@yF[qGiBce@IgFLe[z@opBJgC^cDh@mC`BoFrBuGd@qBVyA^cDPsDDeG@qmCDoCTkDZkCj@sCl@}Bx@yBnAkC~Tca@v@eBr@{Bl@kCZ{BRoCF}BIq\Ugw@HyCR}BT_BXsAr@uBv@}Ax@gAnAsAlCmBd@HzFqCxAaA`FkEr@[dAQrGs@xBi@rGmBH]fDy@V?|Ca@tBMxC?lCL~BV`BZrCv@|Ah@~NhG~E~AlD`AjDl@hCZvCNzCBrCGtJk@pCAfCH~CZ|Cj@~n@tNjC|@tB`ApBlAlXrSrIfGzGdFzAz@hBt@lBd@pBTlUr@`@HnGNhBGjBU`B]pAc@vAo@h\oT~Au@lBk@`B[hBMnA?fBHfBVhHxAhBRpBBrBKjBWjBg@lB{@vE}BbBk@~AY`YiCrNkAlWoBvC]|Cm@xBq@rCgAtBeArCiB~BqBvIoIrC}BbUgPzG}EzHgGvg@ac@vLwJxJwH`UkPfH{FzD_DzBwA|@g@fDuAdBk@|Bk@nDy@|Bs@zDoBjBoApTkQtMqKvPkNlCwBv@e@VUpCuAfLgEtBaAbCcBbB}A|AkBzCwEdBmClAuAvAsAvVyQrXaSn_EewC|m@od@v`@uYrAqAzAqBd@Gt@qAtAkCd@aAd@o@z@k@rA]tAYpBSDA~B@BtJAbOC`@vEp@zGhAr@BHCjATbV~DtD`@x@FItBYbB]jAq@lAo@x@{@n@cC|Au@v@q@bAi@rA[`BKfBB|A\lHh@hIRnA
3,122956306,123303002,34.0423789,-117.9063379,33.9303081,-118.0957756,22,1595.26,1315.5,1293.5,1764.9,31538.083,31538.083,26593.57,31748,1403,{{wnEnqsnU]H_@Ng@\Wo@G]WwFGeAG{@Qw@[e@YYe@WmAc@i@_@wCqDa@g@e@YUI]?o@H_A^k@d@aAxAs@pAKRw@rA[bAI~@EtADfALt@t@xDLzBEjBItAcAGaAEoTEofAa@wOE{VIkAB}HOaBIqD?Q_@Aw@J[TMV?RLHVFlB?lCP^y@`bEJ~ExKbzBdFrv@P`BdD~g@hBvWp@fJjF|v@rBnXh@pHKz@DrDKv@Yr@iBlCWt@Iz@B~@Jd@\p@VXh@Xf@J|@?`BOnEi@tA?~ERbANVIdOzD~DvA`KtE`fA`g@~BtA|BhBvBxBnBjCvA~BvA`D~@jCbJf[~CjK|@bCpApCrAzBpFvH^`@jR`Xv@pAfJlMpArBpBvDjDzHzPf_@lIbP^l@tXfh@bOvXvAvB`BtBnBnBfBxAtCjB`CjAzCfAnCn@tJvA~A^hBr@~Az@xAbAxAvAnCjDz]td@`BbBbCpBhC`BdCjAtC~@pCl@hx@~LlEx@xGdBrE~AzDfB`DbBzDbCjDfCdDrCxExExJ`KtAlAlBrAtBhAvB~@vBp@|MzCfFxAlFjB~ErB`PjHhDnAfR|FLHba@bM~DxAlFfCr}@tc@`@PPf@lDlBzAdAxDtDhGhGJNjBdBv@`@v@P~@FdG@XA|@P`@JNBbBh@ZNfEoKx@sBdAiC|AkDxC??LzW@nD?\@EbD
4,123627558,122633446,34.123723,-117.8660875,34.0375454,-118.388599,13,2552.4,2063.9,2047.9,2752.9,57216.734,57216.734,53818.746,62178,2630,kxgoE`vknU@~GhAVPBrEUv@Mp@YXvAFz@DnC?bBV@f@NVPV`@Pv@Bx@CdJCdDTZ}@jc@EvIBdSNrd@EdKi@`n@@|IL`HZpIx@pN@vCIbCQxBa@hCm@`Cu@xBs@vAy@pAkAzAkKvKoAxA{I`JyAlBkApBy@lBu@zBk@pCaC~Pq@bDaAhDwDhKk@zBc@jCWnCGzA?tCJxCTxBvBpNvD`Wb@pFJbEAxBI`CUxCSvAk@xCyHtZ}Jv_@}@dEiJbk@{@tGa@vEW`FGvEHlp@NlKPxJ?|GWhg@Cbu@?~_AAvOG`CYtC]vBeBvHsErSo@pBcA|BcAbB{AjB_L~KoA`BaA~AiAhCo`@deAu@fCo@`Da@zCOnB_D|k@MzDEfFFpi@DfXVxdBLxHZjH|AvVRxFNxIPdTKjDWzCc@vCo@lCy@lCaAzBsAbCwFdIqAzBgA~BcArCy@`Di@tCa@jDShDGxDDpi@F`j@Nla@DhNJl\JnGp@~PTxFHzGB|]Kti@Fhf@@\@jMJxCTdCd@pCbArEdAjDdAnC|P~_@LTxAnDdApDx@pDbEnXl@bC`AtCjEfJdArCdAzDfGzUTbAl@fDZhCZxDHvCB`EK|DUtDc@tDg@zC_AxDm@jBs_@deAg@fBc@~BYhCOtC?xCFrBXzCd@lCl@|BjHtVj@~Bl@lDf@|DRvBPvDf@t[BdDAjHIbFErAY\o@`IuCrWG`BDzALbBTvA^nAh@nAl@dA`AhA|@p@jAn@zAd@lC\`LjAnBZPObYnFrBXvDVzDF~CI|Ea@vOeBzQmBbCIvB@`CPbC\zBj@zBz@tBfAbBjAxAlAdBhBtAjBvAbC`BtD|Rxe@rAjDhDvKdAhCbCxEfKnRvCjFx@dAx@|@zAfApAr@|Af@pAXRRxBVvUfA~@ChAOlI}BLG|GkBdAe@x@m@nIsIT_@jOqOdGuGNe@vGoGj@e@vKqKbCsCdCoDxBsDt@wAb@OnIqNzS}Z~@_At@g@t@WlC_@l@WnAw@fBu@~@Sh@@^N\^~BhDR?lC|Dr@dAlEvF|BbCfIhItEnE|AfAdBz@jMtEd@V~A`AdAx@hAnAz@lAt@xAjNx]^jA\|A`AnHV|Ap@~B\z@j@hAx@lArPzRt@|@DVbH`JjBtBjBnB`@XnG|GbFxEzApAbJfHhBhBpA`BpAnBzDlHvCbGrIfPrB|Df@x@jIhPjAtBv@dAFZ`BrBxC`D~BnBHN|A`AxC|AfAb@zAVRJlI|@n@Xf@`@b@j@`@|@VjAZvCPbE\bJZrEv@tG|AfM`@fETnEHdDB~BR\e@fdBC^?tKIhXFbPTbLN~D?b@r@lLlFds@ThF|A`|@LdLj@x[HfAfBbbA`@bSNdKAxEMtE[~Ee@rEyD|YsGfg@_AfHUxCEx@ArCHdCVlCJ`Ap@hDr@zBz@hB`ObZDf@`D|HJl@?b@Gf@y@rCEPcBy@o@McDa@aC]aNeC
5,122594161,122996845,34.1243172,-117.877749,34.2114539,-118.2100308,10,1419.33,1398.1,1374.1,2130.2,36629.794,36629.794,35390.133,36630,1901,c|goE~~mnU@rI`QA?bBE^AxTFRAzZE`@?lAAhAA|EGpM^f@Vd@Fl@IrKDtE?`AP`@MxN@|IL`HZpIx@pN@vCIbCQxBa@hCm@`Cu@xBs@vAy@pAkAzAkKvKoAxA{I`JyAlBkApBy@lBu@zBk@pCaC~Pq@bDaAhDwDhKk@zBc@jCWnCGzA?tCJxCTxBvBpNvD`Wb@pFJbEAxBI`CUxCSvAk@xCyHtZ}Jv_@}@dEiJbk@{@tGa@vEW`FGvEHlp@NlKPxJ?|GWhg@Cbu@?~_AAvOG`CYtC]vBeBvHsErSo@pBcA|BcAbB{AjB_L~KoA`BaA~AiAhCo`@deAu@fCo@`Da@zCOnB_D|k@MzDEfFFpi@DfXVxdBLxHZjH|AvVRxFNxIPdTKjDWzCc@vCo@lCy@lCaAzBsAbCwFdIqAzBgA~BcArCy@`Di@tCa@jDShDGxDDpi@F`j@Nla@DhNJl\JnGp@~PTxFHzGB|]Kti@BbOIb@I~BQbN@|JD~JLdDh@zH@~AG~AQbB[xAUv@s@|A{@nA}@bAu@h@}Az@STqHhDeC~@YXaCr@}Bd@yBV{BLqC?c}@eDmC@kDZ_C`@yBl@_C~@wBjAmBtAkBfByAbBoC~Dq_@~k@}AtCeAfCsNfb@sA~CqA~BgBnCqB`CwBtBaCjBsBlAwB`A}Bv@_Ch@}K|AcCl@sBt@}BhAkBjAsCbCec@z_@sB~BeBbC{AnCsA~CeKnYYHgCpFg@p@yEfEUXWd@Uz@IfACnFpFAb@BJNlEEz@?NHsBbGoDxJiB|E}@rC?L@Fw@vBi@|AmEbMwBzFu@J}LE
6,2419128954,1967750993,33.8347842,-118.2789101,34.090231,-118.2453754,22,1373.33,1341.5,1319.5,1682.3,31480.1,31480.1,30275.38,34248,1787,mjomEfj|pUvAWBdM@p^JAJIfC?JLnHA~FB`OC?jBI\SX[J{G\WTqf@?wCM_D]mr@sK_DWcDI}MAe@DqMAcWk@}JW}B?kCJ_OdA{BBe@?[J{@EOEqGUoTAcm@@gWWaI?mDD_DPiJz@iCJ}ABo@Lsm@n@_DNeFp@iKrAkCPsFBePEoa@Hwa@AwCG{C[iDo@oBm@eC}@_D}AiC_B_CmB}GsGkAaAiBgAiBu@aBg@cBYcCSiNu@mFa@gN}AaF[kc@qAwN@iYL{DIqPeAoCEsCJ{Fn@iZnDuCPeCBwZMcl@Ryh@C_h@?eEMeKg@qNMiNI_@I_JE{Xb@gFDeL`@mAJiV~@mGHos@o@yQUwDY}Ce@wCq@mEwA{By@aHiDiHaE_FuBkG_CwCgAyIuEaBk@wCm@sAOaBI{CD_Pd@iFBuDK}f@wD{Ci@sCw@yB{@uBiAwA_AkB}AcBcB_BsBaBiCkBoDCk@gEsIaIwOcA{BgDyGsD{GkDyFcE{FcAeAsAgAuCiBSKmCgBUQWGMAuEkEaDgDiAuAcGoGyBsC_AmASGgEoFuO}Qk@{@{@gBaA_D]uBo@_Fk@mCc@wA}D}J@a@uD}KkBaFWa@m@k@m@Yu@Os@Au@Ls@Zm@Zh@n@|AvAH@F?fCr@TTJXfAzEP^f@n@x@h@NJLZB\G\cArBy@jB{@vAwAdByFjG]`@GNwDfEwE|E}@`Ay@n@{EbB}CjAkExA_A\y@NuJbAeA@qAIkBWgBe@sFuBa@jA[hAe@d@sAt@s@`@{@~@s@jAaB`DKUhBkDCMw@i@cE{CUEgFE]OkBwBMUiAgAY_@wCwC_BmBe@y@_A}Ci@iBuAiCUY[QUAgA?GLaCdH@RAB
7,122935882,3834135029,33.9777719,-118.3926695,33.8287667,-118.2636074,5,857.33,918.8,902.8,902.8,24211.413,24211.413,24211.413,24608,1052,chknEdqrqUVi@hBaFZc@f@YxAq@b@a@Xc@Tm@L{@@qIDm@To@Xa@XUj@O\E@tKyG?e@QY[Qg@Cg@De@rAkEIi@fLk[dC}FLYFStEqJnCeGxLeZ`AmBpAmBtA}ApAgAdBiAjB_ArBm@tMsC`@E`GmAdDe@nCQvCG`f@NfDIdE]xEq@rF{@nD]nCMfDEz]B`n@ElQ@fGB|FAzP@XBjGD|EVlFn@rf@xGjEZnCJVFpGBjMCrIArz@ChBKdBWxA_@bBm@~Ay@xAcArAmAjAuAxEmH`KyOnCsEdx@wnA|B}ChCwCzBuBtCcCxFyDto@sa@~CqBjB{AdBeB~AoBtAuB|A{CjAyC|@yC~AqHtGk\zYuxAnDkQn@iEb@iEXwEL_E@_G?mwAH{CRyCb@sDn@cDx@{ClF}P~@cCxA{C|@_BfBiCb@i@RG|N{P~BkD`a@ap@`E{FfEmFpD}DzM_N`@GdEgDv@g@x@Sn@Ap@J|Aj@NCPOJQTs@HKJaAd@iAVSp@QfF?LCrC@vUE|C?l@@hEAzMChA?AWqD?
8,122646700,123009116,34.0739488,-118.0267885,33.9909118,-117.9109435,2,1079.67,849.4,843.4,1056.5,21917.657,21917.657,16633.295,21210,927,ca~nEjbkoUfCU^Or@eA`D{FfBjBfAeBZW|FuAf@[d@q@dDsFNk@B}@AuBHe@Ra@X[`A_@nBq@`@]T_@ZmAfAuEz@sCGk@nAuDj@uBv@iDt@uEbCuRhAoIPuBHaCCiCI_BwBcWTs@SqHDs@Po@N]d@e@f@[f@O~A?zBBNGv@Fj@JVIdOzD~DvA`KtE`fA`g@~BtA|BhBvBxBnBjCvA~BvA`D~@jCbJf[~CjK|@bCpApCrAzBpFvHDb@pDxF^`Av@vCNHTl@d@v@h@j@bEhDT^F^?f@I^Yb@[NYDa@I]WQ[Ga@@c@VgA^oAG]`J{VNUfG}P`FmN|@aDt@{D\gDNuC@}BCmq@LoG^uGd@aFt@eF|@_FlAgFtAuE~AsEJ]|AoDlBwDzBuDdCmDvCoDnCqCjb@}`@zReRrB_CtBwCfB_DfBsDpAkDhAsDh@_CtQa|@dWenA~Kei@@S~Mwo@f@{BrJae@z@oFl@uFl@oI~Bm^h@{IpHijAXwHTYb@}HNq@b@{@|AeCTu@Lw@To@JORKZIlDNjCPK`FIxAlGTMzFGj@uBnISZoArA
9,122518943,122626917,34.0537907,-118.2379474,34.2957311,-118.4104203,2,1375.33,1529.3,1510.4,1798.5,39831.061,37475.442,34374.767,37501,1510,ecznExitpUsCSiEg@Gl@DPJJb@LXRJ`@?d@y@lEUp@Af@cI`OuCnF_DzE{EfG{AzAyR`PsAxAgAzA{CxEOJmChE{EtH_AhBmApCgA`D}A|FgLld@yAtEyHhUuDxL{AxDoA~CqA|D_AjDy@rDgHl_@qBjNgCnQyAxMc@nCu@hDy@rCsAfD{E|KcF`NoEzLwA~CkBhD{P~XaBvB}A~A}ArAwClBgQfJuA`AkAhA}@`AgA|AmLdTyAtB_BjBqAnAiBvAcAn@kCvAsS`K{A`AqAjAgApAwA|By@hBw@hCc@xBYtBMzBKjKOfCYxBe@rBi@fB}@pBiXhi@sAvB}AnBsAnAwAbA}Az@cBn@oHfBcLdCeIxA_Dz@qCbAgD~AoCdBoCtByBvBaBjBuNfQQX_BpAsG|DyAjA{ThUgGpGyArB_A`By@pBm@hBg@~Bq@tEaAnGqAnGuB`Jq@tBw@dBkArB{RlZiAxAqAnAkBrAqBfAiDnAkOlF_Bv@oBrAeBbBmA|A_IdMcBrC{@fAeB`BcMbJoSnOmCdBqCzASBqDxAc~@rZiClAcCzAiBvAcBbBaBpBwAzBiQlZ}AtBeBpB_BtA{B`B_CrAgCfAoNpFcCpAoCjBcBtAcCfCwJfMiBfBmBvAeB`A{Ap@{Ad@aB^aCZuWjBaCTqn@hEcC\cCh@uCbAuPtGuDlA{EjA_wA|VmU~D}BRcD?gCOoBYyBi@qNoE_BYoBQiB@kBP}AZcBl@wAr@aAr@wArAuRxVsC~CEh@_DbDyJ`LaR`SuLlM}e@dh@{NdP{CbD{A~Ao@d@sV~W]JwBfBkBlAcBx@]AkI|CiARqADiBMw@Ss@]{@s@wAuBcA}BECy@mCs@eDoAmHQEw@mDeAeDuAeD{AsCw[if@aFuGqIuKDWeAyAaC{DsBkDGc@D[T]`@c@uBeDgN{Sw\{g@Oe@y@{AoAiB_KjK{EjFW\sHfIeGjGO@wMkSiBoC
